File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
at32_usart.o,30.234768%,2228,1082,1082,0,0,2228
pc_comm_handle.o,20.993351%,1547,610,610,0,0,1547
eventrecorder.o,16.121590%,1188,1660,1636,24,0,1188
startup_at32f403a_407.o,13.896051%,1024,424,36,388,0,1024
adc_filter.o,3.691139%,272,546,546,0,0,272
key_handle.o,2.632650%,194,2949,2758,0,191,3
tmt.o,2.496947%,184,1126,1126,0,0,184
ps305d_handle.o,2.116976%,156,382,382,0,0,156
pid_handle.o,1.737006%,128,64,64,0,0,128
encoderec11.o,1.560592%,115,1482,1370,0,112,3
perf_counter.o,1.031348%,76,1232,1220,4,8,68
lcd_handle.o,0.990636%,73,6121,6078,0,43,30
flash_handle.o,0.787081%,58,4730,4730,0,0,58
work_handle.o,0.339259%,25,2454,2446,0,8,17
output_handle.o,0.298548%,22,982,982,0,0,22
collect_data_handle.o,0.271407%,20,1360,1360,0,0,20
ec11_handle.o,0.230696%,17,2238,2228,0,10,7
beep.o,0.230696%,17,313,292,5,16,1
at32f403a_407_int.o,0.149274%,11,292,290,0,2,9
wk_system.o,0.054281%,4,114,114,0,0,4
system_at32f403a_407.o,0.054281%,4,602,582,16,4,0
beep_handle.o,0.040711%,3,271,270,0,1,2
main.o,0.013570%,1,632,632,0,0,1
key.o,0.013570%,1,251,250,0,1,0
iap.o,0.013570%,1,116,116,0,0,1
