File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd_handle.o,11.635527%,5611,70,5568,0,43,27
flash_handle.o,9.808598%,4730,58,4730,0,0,58
key_handle.o,6.115339%,2949,194,2758,0,191,3
work_handle.o,5.047384%,2434,25,2426,0,8,17
ec11_handle.o,4.640939%,2238,17,2228,0,10,7
eventrecorder.o,3.442341%,1660,1188,1636,24,0,1188
at32f403a_407_crm.o,3.243266%,1564,0,1524,40,0,0
encoderec11.o,3.073222%,1482,115,1370,0,112,3
at32f403a_407_flash.o,2.990274%,1442,0,1442,0,0,0
at32f403a_407_tmr.o,2.708251%,1306,0,1306,0,0,0
mf_w.l,2.687514%,1296,0,1296,0,0,0
collect_data_handle.o,2.596272%,1252,20,1252,0,0,20
perf_counter.o,2.554797%,1232,76,1220,4,8,68
tmt.o,2.334985%,1126,184,1126,0,0,184
at32_usart.o,2.243743%,1082,2228,1082,0,0,2228
tm1680.o,2.119321%,1022,0,1022,0,0,0
output_handle.o,2.036373%,982,22,982,0,0,22
at32f403a_407_adc.o,1.961720%,946,0,946,0,0,0
adc_filter.o,1.870477%,902,320,902,0,0,320
at32f403a_407_usart.o,1.663107%,802,0,802,0,0,0
main.o,1.526243%,736,1,736,0,0,1
at32f403a_407_dma.o,1.501358%,724,0,724,0,0,0
at32f403a_407_wk_config.o,1.488916%,718,0,718,0,0,0
pc_comm_handle.o,1.264957%,610,1547,610,0,0,1547
system_at32f403a_407.o,1.248367%,602,4,582,16,4,0
at32f403a_407_gpio.o,1.248367%,602,0,602,0,0,0
mc_w.l,1.157124%,558,0,558,0,0,0
wk_adc.o,1.078324%,520,0,520,0,0,0
at32f403a_407_misc.o,1.045144%,504,0,504,0,0,0
startup_at32f403a_407.o,0.879248%,424,1024,36,388,0,1024
wk_gpio.o,0.825332%,398,0,398,0,0,0
ps305d_handle.o,0.734090%,354,156,354,0,0,156
at32f403a_407_dac.o,0.705058%,340,0,340,0,0,0
dadd.o,0.692616%,334,0,334,0,0,0
beep.o,0.649068%,313,17,292,5,16,1
wk_tmr.o,0.630405%,304,0,304,0,0,0
at32f403a_407_int.o,0.605520%,292,11,290,0,2,9
util_queue.o,0.580636%,280,0,280,0,0,0
beep_handle.o,0.561972%,271,3,270,0,1,2
key.o,0.520499%,251,1,250,0,1,0
at32f403a_407_crc.o,0.493540%,238,0,238,0,0,0
perfc_port_default.o,0.476951%,230,0,230,0,0,0
dmul.o,0.472803%,228,0,228,0,0,0
ddiv.o,0.460361%,222,0,222,0,0,0
wk_usart.o,0.410592%,198,0,198,0,0,0
depilogue.o,0.385708%,186,0,186,0,0,0
wk_dac.o,0.277876%,134,0,134,0,0,0
wk_dma.o,0.252991%,122,0,122,0,0,0
at32f403a_407_wdt.o,0.244697%,118,0,118,0,0,0
iap.o,0.240549%,116,1,116,0,0,1
wk_system.o,0.236402%,114,4,114,0,0,4
fepilogue.o,0.228107%,110,0,110,0,0,0
uldiv.o,0.203223%,98,0,98,0,0,0
ldiv.o,0.203223%,98,0,98,0,0,0
__dczerorl2.o,0.178338%,86,0,86,0,0,0
pid_handle.o,0.132717%,64,128,64,0,0,128
dfixi.o,0.128569%,62,0,62,0,0,0
d2f.o,0.116127%,56,0,56,0,0,0
wk_crc.o,0.107832%,52,0,52,0,0,0
flash.o,0.103685%,50,0,50,0,0,0
init.o,0.099538%,48,0,48,0,0,0
cpp_init.o,0.082948%,40,0,40,0,0,0
f2d.o,0.078801%,38,0,38,0,0,0
memseta.o,0.074653%,36,0,36,0,0,0
llsshr.o,0.074653%,36,0,36,0,0,0
dflti.o,0.070506%,34,0,34,0,0,0
llushr.o,0.066358%,32,0,32,0,0,0
llshl.o,0.062211%,30,0,30,0,0,0
handlers.o,0.062211%,30,0,30,0,0,0
wk_wdt.o,0.058064%,28,0,28,0,0,0
systick_wrapper_gnu.o,0.058064%,28,0,28,0,0,0
dfltui.o,0.053916%,26,0,26,0,0,0
wk_debug.o,0.037327%,18,0,18,0,0,0
entry9a.o,0.016590%,8,0,8,0,0,0
entry2.o,0.016590%,8,0,8,0,0,0
entry8a.o,0.008295%,4,0,4,0,0,0
entry5.o,0.008295%,4,0,4,0,0,0
